Mode,Route,WER,CER,RTF
duration,0.0,2.9433443074050416,0.9897182413555181,0.001283428772693165
entropy,0.0,2.9433443074050416,0.9897182413555181,0.001283428772693165
oracle,0.0,2.9433443074050416,0.9897182413555181,0.001283428772693165
peak,0.0,2.9433443074050416,0.9897182413555181,0.001283428772693165
peak_entropy,0.0,2.9433443074050416,0.9897182413555181,0.001283428772693165
random,0.0,2.9433443074050416,0.9897182413555182,0.001283428772693165
oracle,10.0,2.127659574468085,0.7578413962379396,0.0014101279622191784
entropy,10.0,2.658346027222249,0.8766075852006018,0.001407870468291212
peak_entropy,10.0,2.6681735541251044,0.8754764786390525,0.0014069241036929038
peak,10.0,2.673087317576532,0.8788697983237,0.0014068803547872186
duration,10.0,2.7025698982850965,0.9150652082932732,0.0014567223921970764
random,10.0,2.8322932534027814,0.9501295117012974,0.0014186878424566763
oracle,25.0,1.4495602181710971,0.5191779117510661,0.0016239401745394542
entropy,25.0,2.314382585622328,0.7499236503070954,0.0016078021720288536
peak,25.0,2.393002800845167,0.768021355291882,0.0016065817629644613
peak_entropy,25.0,2.3979165642965947,0.7668902487303328,0.0016070970392409868
duration,25.0,2.5355019409365633,0.8268388964924385,0.0016757540544899549
random,25.0,2.655397769151393,0.8836204458822067,0.0016156783297002664
oracle,50.0,1.4495602181710971,0.5169156986279677,0.001960177525675879
entropy,50.0,2.039211832342391,0.6435996335214741,0.0019452642031123348
peak,50.0,2.039211832342391,0.6515173794523182,0.0019449425910896042
peak_entropy,50.0,2.0441255957938185,0.6537795925754165,0.0019447412196386355
duration,50.0,2.2406761338509167,0.7318259453223088,0.0020218860024301833
random,50.0,2.3851407793228834,0.7883812733997669,0.0019488108096620996
oracle,75.0,1.4495602181710971,0.5067357395740253,0.0022812796234934567
entropy,75.0,1.9114539826052774,0.6096664366749991,0.002285104322885353
peak,75.0,1.9212815095081321,0.6096664366749991,0.0022857122102350968
peak_entropy,75.0,1.9212815095081321,0.6096664366749991,0.0022857122102350968
duration,75.0,1.9360227998624147,0.6164530760442941,0.002329078817311996
random,75.0,2.094245982998378,0.6791163795541177,0.002283719128722771
duration,100.0,1.8230062404795835,0.5746021332669751,0.0026200393240204977
entropy,100.0,1.8230062404795835,0.5746021332669751,0.0026200393240204977
oracle,100.0,1.8230062404795835,0.5746021332669751,0.0026200393240204977
peak,100.0,1.8230062404795835,0.5746021332669751,0.0026200393240204977
peak_entropy,100.0,1.8230062404795835,0.5746021332669751,0.0026200393240204977
random,100.0,1.8230062404795835,0.5746021332669751,0.0026200393240204977
