Mode,Seed,Route,WER,CER,RTF
duration,2026,0.0,2.9433443074050416,0.9897182413555181,0.001283428772693165
duration,2026,10.0,2.7025698982850965,0.9150652082932732,0.0014567223921970764
duration,2026,25.0,2.5355019409365633,0.8268388964924385,0.0016757540544899549
duration,2026,50.0,2.2406761338509167,0.7318259453223088,0.0020218860024301833
duration,2026,75.0,1.9360227998624147,0.6164530760442941,0.002329078817311996
duration,2026,100.0,1.8230062404795835,0.5746021332669751,0.0026200393240204977
entropy,2026,0.0,2.9433443074050416,0.9897182413555181,0.001283428772693165
entropy,2026,10.0,2.658346027222249,0.8766075852006018,0.001407870468291212
entropy,2026,25.0,2.314382585622328,0.7499236503070954,0.0016078021720288536
entropy,2026,50.0,2.039211832342391,0.6435996335214741,0.0019452642031123348
entropy,2026,75.0,1.9114539826052774,0.6096664366749991,0.002285104322885353
entropy,2026,100.0,1.8230062404795835,0.5746021332669751,0.0026200393240204977
oracle,2026,0.0,2.9433443074050416,0.9897182413555181,0.001283428772693165
oracle,2026,10.0,2.127659574468085,0.7578413962379396,0.0014101279622191784
oracle,2026,25.0,1.4495602181710971,0.5191779117510661,0.0016239401745394542
oracle,2026,50.0,1.4495602181710971,0.5169156986279677,0.001960177525675879
oracle,2026,75.0,1.4495602181710971,0.5067357395740253,0.0022812796234934567
oracle,2026,100.0,1.8230062404795835,0.5746021332669751,0.0026200393240204977
peak,2026,0.0,2.9433443074050416,0.9897182413555181,0.001283428772693165
peak,2026,10.0,2.673087317576532,0.8788697983237,0.0014068803547872186
peak,2026,25.0,2.393002800845167,0.768021355291882,0.0016065817629644613
peak,2026,50.0,2.039211832342391,0.6515173794523182,0.0019449425910896042
peak,2026,75.0,1.9212815095081321,0.6096664366749991,0.0022857122102350968
peak,2026,100.0,1.8230062404795835,0.5746021332669751,0.0026200393240204977
peak_entropy,2026,0.0,2.9433443074050416,0.9897182413555181,0.001283428772693165
peak_entropy,2026,10.0,2.6681735541251044,0.8754764786390525,0.0014069241036929038
peak_entropy,2026,25.0,2.3979165642965947,0.7668902487303328,0.0016070970392409868
peak_entropy,2026,50.0,2.0441255957938185,0.6537795925754165,0.0019447412196386355
peak_entropy,2026,75.0,1.9212815095081321,0.6096664366749991,0.0022857122102350968
peak_entropy,2026,100.0,1.8230062404795835,0.5746021332669751,0.0026200393240204977
random,1,0.0,2.9433443074050416,0.9897182413555181,0.001283428772693165
random,1,10.0,2.8352415114736376,0.9456050854551007,0.0014118106708651728
random,1,25.0,2.643604736867967,0.8630343064620118,0.0016075989803385482
random,1,50.0,2.4077440911994494,0.7702835684149804,0.0019386494571336543
random,1,75.0,2.1227458110166575,0.6809261500525965,0.002285721119926872
random,1,100.0,1.8230062404795835,0.5746021332669751,0.0026200393240204977
random,2,0.0,2.9433443074050416,0.9897182413555181,0.001283428772693165
random,2,10.0,2.8450690383764927,0.9546539379474941,0.0014195802271275279
random,2,25.0,2.6681735541251044,0.90601635580088,0.001613177174623789
random,2,50.0,2.3586064566851754,0.7838568471535703,0.001957859948631761
random,2,75.0,2.083435703405238,0.6990238550373831,0.0022905680511047717
random,2,100.0,1.8230062404795835,0.5746021332669751,0.0026200393240204977
random,3,0.0,2.9433443074050416,0.9897182413555181,0.001283428772693165
random,3,10.0,2.8696378556336297,0.9716205363707314,0.0014293111118801225
random,3,25.0,2.732052478993661,0.9071474623624293,0.0016269193963272218
random,3,50.0,2.466709252616579,0.8087411915076519,0.0019536208572640606
random,3,75.0,2.112918284113803,0.6662217647524573,0.002287425822413262
random,3,100.0,1.8230062404795835,0.5746021332669751,0.0026200393240204977
random,4,0.0,2.9433443074050416,0.9897182413555181,0.001283428772693165
random,4,10.0,2.800845167313646,0.9309007001549616,0.001416305024403949
random,4,25.0,2.59938086580512,0.8630343064620118,0.001613323427137519
random,4,50.0,2.378261510490885,0.7861190602766686,0.0019453417736432625
random,4,75.0,2.0981769937595205,0.6673528713140064,0.002275429419515448
random,4,100.0,1.8230062404795835,0.5746021332669751,0.0026200393240204977
random,5,0.0,2.9433443074050416,0.9897182413555181,0.001283428772693165
random,5,10.0,2.8106726942165006,0.9478672985781991,0.0014164321780066097
random,5,25.0,2.633777209965112,0.8788697983237,0.0016173726700742538
random,5,50.0,2.314382585622328,0.7929056996459637,0.00194858201163776
random,5,75.0,2.053953122696673,0.6820572566141456,0.002279451230653502
random,5,100.0,1.8230062404795835,0.5746021332669751,0.0026200393240204977
