Mode,Route,WER,CER,RTF
duration,0.0,2.474402730375427,0.9451035592197868,0.002215141789279328
entropy,0.0,2.474402730375427,0.9451035592197868,0.002215141789279328
oracle,0.0,2.474402730375427,0.9451035592197868,0.002215141789279328
peak,0.0,2.474402730375427,0.9451035592197868,0.002215141789279328
peak_entropy,0.0,2.474402730375427,0.9451035592197868,0.002215141789279328
random,0.0,2.474402730375427,0.9451035592197868,0.002215141789279328
oracle,10.0,1.7491467576791808,0.5529861250754071,0.002366640764026276
duration,10.0,2.2610921501706485,0.9149406796702193,0.0024119364843652093
peak,10.0,2.303754266211604,0.7741805751055701,0.0023671012959364498
peak_entropy,10.0,2.303754266211604,0.7741805751055701,0.0023671012959364498
entropy,10.0,2.3464163822525594,0.7842348682887592,0.002370366097208739
random,10.0,2.3976109215017063,0.9089081037603057,0.002401475237064633
oracle,25.0,1.1945392491467577,0.38206314096119043,0.0026109072429444497
peak_entropy,25.0,1.877133105802048,0.633420470540921,0.002614840393239643
duration,25.0,1.9197952218430034,0.7440176955560024,0.002653858299785619
peak,25.0,1.9197952218430034,0.6535290569072995,0.0026114276421632847
entropy,25.0,1.9624573378839592,0.6635833500904886,0.002610942062267378
random,25.0,2.2610921501706485,0.8365171928413432,0.0026350691472629443
oracle,50.0,1.1945392491467577,0.38206314096119043,0.0029953021578306284
duration,50.0,1.621160409556314,0.5630404182585964,0.0031972104655186057
peak,50.0,1.7491467576791808,0.6032575909913533,0.0030166223877452604
entropy,50.0,1.7918088737201365,0.6032575909913533,0.00301675758049124
peak_entropy,50.0,1.7918088737201365,0.6032575909913533,0.0030124322864591158
random,50.0,2.0563139931740615,0.735974261009451,0.003066821804867832
oracle,75.0,1.1945392491467577,0.3921174341443796,0.0035591827992161227
duration,75.0,1.5358361774744027,0.5027146591594611,0.003579116207767162
entropy,75.0,1.6638225255972698,0.5328775387090288,0.003420339072211337
peak,75.0,1.7064846416382253,0.5529861250754071,0.003415768197042139
peak_entropy,75.0,1.7064846416382253,0.5529861250754071,0.003415768197042139
random,75.0,1.8088737201365188,0.6233661773577317,0.0034948555790440343
duration,100.0,1.5784982935153582,0.49266036597627183,0.003951811207399019
entropy,100.0,1.5784982935153582,0.49266036597627183,0.003951811207399019
oracle,100.0,1.5784982935153582,0.49266036597627183,0.003951811207399019
peak,100.0,1.5784982935153582,0.49266036597627183,0.003951811207399019
peak_entropy,100.0,1.5784982935153582,0.49266036597627183,0.003951811207399019
random,100.0,1.5784982935153582,0.49266036597627183,0.003951811207399019
