Mode,Seed,Route,WER,CER,RTF
duration,2026,0.0,2.474402730375427,0.9451035592197868,0.002215141789279328
duration,2026,10.0,2.2610921501706485,0.9149406796702193,0.0024119364843652093
duration,2026,25.0,1.9197952218430034,0.7440176955560024,0.002653858299785619
duration,2026,50.0,1.621160409556314,0.5630404182585964,0.0031972104655186057
duration,2026,75.0,1.5358361774744027,0.5027146591594611,0.003579116207767162
duration,2026,100.0,1.5784982935153582,0.49266036597627183,0.003951811207399019
entropy,2026,0.0,2.474402730375427,0.9451035592197868,0.002215141789279328
entropy,2026,10.0,2.3464163822525594,0.7842348682887592,0.002370366097208739
entropy,2026,25.0,1.9624573378839592,0.6635833500904886,0.002610942062267378
entropy,2026,50.0,1.7918088737201365,0.6032575909913533,0.00301675758049124
entropy,2026,75.0,1.6638225255972698,0.5328775387090288,0.003420339072211337
entropy,2026,100.0,1.5784982935153582,0.49266036597627183,0.003951811207399019
oracle,2026,0.0,2.474402730375427,0.9451035592197868,0.002215141789279328
oracle,2026,10.0,1.7491467576791808,0.5529861250754071,0.002366640764026276
oracle,2026,25.0,1.1945392491467577,0.38206314096119043,0.0026109072429444497
oracle,2026,50.0,1.1945392491467577,0.38206314096119043,0.0029953021578306284
oracle,2026,75.0,1.1945392491467577,0.3921174341443796,0.0035591827992161227
oracle,2026,100.0,1.5784982935153582,0.49266036597627183,0.003951811207399019
peak,2026,0.0,2.474402730375427,0.9451035592197868,0.002215141789279328
peak,2026,10.0,2.303754266211604,0.7741805751055701,0.0023671012959364498
peak,2026,25.0,1.9197952218430034,0.6535290569072995,0.0026114276421632847
peak,2026,50.0,1.7491467576791808,0.6032575909913533,0.0030166223877452604
peak,2026,75.0,1.7064846416382253,0.5529861250754071,0.003415768197042139
peak,2026,100.0,1.5784982935153582,0.49266036597627183,0.003951811207399019
peak_entropy,2026,0.0,2.474402730375427,0.9451035592197868,0.002215141789279328
peak_entropy,2026,10.0,2.303754266211604,0.7741805751055701,0.0023671012959364498
peak_entropy,2026,25.0,1.877133105802048,0.633420470540921,0.002614840393239643
peak_entropy,2026,50.0,1.7918088737201365,0.6032575909913533,0.0030124322864591158
peak_entropy,2026,75.0,1.7064846416382253,0.5529861250754071,0.003415768197042139
peak_entropy,2026,100.0,1.5784982935153582,0.49266036597627183,0.003951811207399019
random,1,0.0,2.474402730375427,0.9451035592197868,0.002215141789279328
random,1,10.0,2.3464163822525594,0.8948320933038408,0.002371979424408475
random,1,25.0,2.1331058020477816,0.7641262819223809,0.002602007497590334
random,1,50.0,1.877133105802048,0.633420470540921,0.003009390189884546
random,1,75.0,1.7491467576791808,0.5831490046249749,0.0035530125509282686
random,1,100.0,1.5784982935153582,0.49266036597627183,0.003951811207399019
random,2,0.0,2.474402730375427,0.9451035592197868,0.002215141789279328
random,2,10.0,2.3890784982935154,0.9249949728534084,0.002375696535049842
random,2,25.0,2.1757679180887375,0.8345063342047053,0.002604861463916251
random,2,50.0,2.0051194539249146,0.7239091091896239,0.0031508796372625067
random,2,75.0,1.7918088737201365,0.6434747637241102,0.00355404433253856
random,2,100.0,1.5784982935153582,0.49266036597627183,0.003951811207399019
random,3,0.0,2.474402730375427,0.9451035592197868,0.002215141789279328
random,3,10.0,2.474402730375427,0.9350492660365975,0.002520802550596144
random,3,25.0,2.431740614334471,0.9249949728534084,0.002757653391298761
random,3,50.0,2.3464163822525594,0.864669213754273,0.0031570052140942914
random,3,75.0,1.9624573378839592,0.6535290569072995,0.003548108741776117
random,3,100.0,1.5784982935153582,0.49266036597627183,0.003951811207399019
random,4,0.0,2.474402730375427,0.9451035592197868,0.002215141789279328
random,4,10.0,2.3464163822525594,0.864669213754273,0.002361744045028986
random,4,25.0,2.1331058020477816,0.7641262819223809,0.0025971139321208985
random,4,50.0,2.1331058020477816,0.7440176955560024,0.0029937800927574603
random,4,75.0,1.834470989761092,0.633420470540921,0.0033988685407091504
random,4,100.0,1.5784982935153582,0.49266036597627183,0.003951811207399019
random,5,0.0,2.474402730375427,0.9451035592197868,0.002215141789279328
random,5,10.0,2.431740614334471,0.9249949728534084,0.002377153630239716
random,5,25.0,2.431740614334471,0.8948320933038408,0.002613709451388479
random,5,50.0,1.9197952218430034,0.7138548160064347,0.003023053890340358
random,5,75.0,1.7064846416382253,0.6032575909913533,0.003420243729268077
random,5,100.0,1.5784982935153582,0.49266036597627183,0.003951811207399019
